,Models,Limited Run,Starting Month,Ending Month,Specification Web Page,Reverb Listing,Notes,Rate,Wanna,"low bracket
(USD)","Average
(USD)","high bracket
(USD)",
1,Les Paul Classic,No,1990,2008,Les Paul Classic,Gibson Les Paul Classic 1990 - 2008,"History is here
https://www.youtube.com/watch?v=kwgucG5TGbU",3,Yes,"1 446,00 $","1 808,00 $","2 170,00 $",
2,Les Paul Classic DC,No,1990,1998,Les Paul Classic DC,,Humbucker or P90,2,Yes,"1 854,00 $","1 854,00 $","1 854,00 $",
3,Les Paul Classic Plus,No,1991,2001,Les Paul Classic Plus,Gibson Les Paul Classic Plus 1991 - 2001,with “AA” grade flame tops,3,Yes,"1 855,00 $","2 596,50 $","3 338,00 $",
4,Les Paul Classic Premium Plus,No,1993,2001,Les Paul Classic Premium Plus,Gibson Les Paul Classic Premium Plus 1993 - 2001,"mainly in 93 to 97, then for one single yeaer in 2001
with “AAA” grade flame tops",3,Yes,"2 082,00 $","2 966,00 $","3 850,00 $",
5,Les Paul Classic Premium Plus Birdeyes,Yes,1997,1997,Les Paul Classic Premium Plus Birdeyes,,Special edition of a Classic Premium Plus,1,Yes,"2 082,00 $","2 966,00 $","3 850,00 $",
6,Les Paul Classic 3 pickups,Yes,2003,2003,,,https://www.youtube.com/watch?v=nEiCOgDbTew,2,Yes,"1 855,00 $","2 596,50 $","3 338,00 $",LP classic plus as reference
7,Les Paul Classic Antique,No,2007,2008,Les Paul Classic Antique,Gibson Les Paul Classic Antique 2007 - 2008,,1,Yes,"1 650,00 $","2 000,00 $","2 350,00 $",
8,Les Paul Classic Custom,No,2007,2008,Les Paul Classic Custom,Gibson Les Paul Classic Custom 2007 - 2008,"Ebony, 2 humbucker",3,Yes,"2 044,00 $","2 845,00 $","3 646,00 $",
9,Week 02 - Les Paul Classic Antique - fireburst,Yes,2007,2007,Week 02 - Les Paul Classic Antique - fireburst,Gibson Guitar Of The Week #2 Les Paul Classic Antique Fireburst 2007,"https://youtu.be/tLwrtCSQiNg?si=dNWDyv0wTsYGm7ZN&t=125
Black back",2,Yes,"1 650,00 $","2 525,00 $","3 400,00 $",
10,Week 05 - Les Paul Classic Antique Artist Series,Yes,2007,2007, Week 5 - Les Paul Classic Antique Artist Series,Gibson Guitar Of The Week #5 Les Paul Classic Antique Artist Series Tom Morgan Art 2007,https://youtu.be/tLwrtCSQiNg?si=A_atknKB5XBoNWVQ&t=229,1,Yes,"1 650,00 $","2 275,00 $","2 900,00 $",
